primary key,target values,probability
9000001,0,4.31E-05
9000002,0,1.46E-08
9000003,0,2.53E-07
9000004,0,7.57E-06
9000005,0,7.14E-06
9000006,0,2.91E-07
9000007,0,7.44E-05
9000008,0,0.000744362
9000009,0,1.09E-05
9000010,0,2.12E-08
9000011,0,3.03E-06
9000012,0,3.13E-07
9000013,0,0.001105638
9000014,0,6.44E-06
9000015,0,0.092941448
9000016,0,1.68E-06
9000017,0,6.88E-05
9000018,0,5.49E-06
9000019,0,2.68E-06
9000020,0,1.21E-05
9000021,0,6.70E-09
9000022,0,0.00055377
9000023,0,0.000140555
9000024,0,5.29E-07
9000025,0,1.24E-07
9000026,0,1.45E-05
9000027,0,3.27E-08
9000028,0,3.58E-07
9000029,0,0.000455193
9000030,0,2.79E-06
9000031,0,1.73E-05
9000032,0,8.67E-06
9000033,0,1.67E-07
9000034,0,6.42E-06
9000035,0,2.63E-06
9000036,0,0.000105805
9000037,0,5.33E-06
9000038,0,1.62E-06
9000039,0,3.71E-05
9000040,0,2.13E-06
9000041,0,5.13E-07
9000042,0,1.77E-06
9000043,0,3.67E-07
9000044,0,1.17E-07
9000045,0,2.81E-06
9000046,0,2.97E-09
9000047,0,3.36E-08
9000048,0,5.66E-07
9000049,0,1.30E-06
9000050,0,3.83E-07
9000051,0,6.42E-07
9000052,0,7.02E-06
9000053,0,1.91E-06
9000054,0,8.31E-07
9000055,0,1.21E-05
9000056,0,1.22E-07
9000057,0,2.80E-09
9000058,0,5.89E-08
9000059,0,2.88E-07
9000060,0,0.000201455
9000061,0,5.17E-09
9000062,0,4.63E-08
9000063,0,8.60E-07
9000064,0,0.022273278
9000065,0,9.39E-07
9000066,0,3.67E-07
9000067,0,8.24E-07
9000068,0,4.98E-05
9000069,0,1.41E-09
9000070,0,2.02E-05
9000071,0,1.97E-08
9000072,0,0.000110712
9000073,0,0.000617958
9000074,0,1.56E-05
9000075,0,7.18E-06
9000076,0,5.53E-08
9000077,0,1.11E-07
9000078,0,4.32E-08
9000079,0,2.41E-06
9000080,0,3.76E-06
9000081,0,2.11E-07
9000082,0,3.55E-06
9000083,0,0.000101776
9000084,0,4.80E-08
9000085,0,6.37E-09
9000086,0,3.93E-07
9000087,0,5.43E-06
9000088,0,3.61E-06
9000089,0,4.91E-05
9000090,0,1.88E-09
9000091,0,4.44E-07
9000092,0,8.81E-05
9000093,0,2.48E-08
9000094,0,6.53E-07
9000095,0,5.91E-06
9000096,0,6.99E-08
9000097,0,5.62E-08
9000098,0,3.20E-07
9000099,0,3.47E-07
9000100,0,0.012097249
9000101,0,8.17E-06
9000102,0,0.000112213
9000103,0,2.52E-08
9000104,0,2.41E-08
9000105,0,2.20E-07
9000106,0,1.96E-07
9000107,0,2.04E-07
9000108,0,6.08E-08
9000109,0,1.12E-06
9000110,0,8.99E-07
9000111,0,5.41E-06
9000112,0,0.000237738
9000113,0,0.000165819
9000114,0,1.06E-05
9000115,0,1.32E-06
9000116,0,1.10E-07
9000117,0,5.22E-06
9000118,0,1.57E-07
9000119,0,3.90E-07
9000120,0,2.48E-08
9000121,0,1.89E-05
9000122,0,4.78E-05
9000123,0,2.48E-09
9000124,0,7.71E-06
9000125,0,1.58E-06
9000126,0,1.30E-08
9000127,0,6.26E-06
9000128,0,1.49E-05
9000129,0,1.15E-06
9000130,0,2.03E-06
9000131,0,1.39E-05
9000132,0,2.07E-07
9000133,0,5.24E-06
9000134,0,1.84E-05
9000135,0,2.55E-08
9000136,0,1.80E-08
9000137,0,6.99E-06
9000138,0,2.30E-06
9000139,0,2.13E-07
9000140,0,5.82E-08
9000141,0,4.83E-08
9000142,0,2.66E-05
9000143,0,7.11E-08
9000144,0,1.91E-07
9000145,0,6.78E-07
9000146,0,0.02383548
9000147,0,1.75E-06
9000148,0,0.263979852
9000149,0,3.58E-06
9000150,0,1.15E-06
9000151,0,3.34E-08
9000152,0,2.15E-09
9000153,0,0.060196377
9000154,0,4.57E-06
9000155,0,1.22E-07
9000156,0,1.38E-05
9000157,0,4.01E-07
9000158,0,0.000211561
9000159,0,0.000488554
9000160,0,6.17E-07
9000161,0,6.69E-09
9000162,0,9.80E-07
9000163,0,7.62E-05
9000164,0,3.42E-05
9000165,0,2.72E-07
9000166,0,2.74E-07
9000167,0,7.80E-05
9000168,0,1.85E-08
9000169,0,1.18E-08
9000170,0,1.14E-06
9000171,0,0.011973729
9000172,0,2.76E-08
9000173,0,1.50E-05
9000174,0,4.67E-06
9000175,0,9.08E-05
9000176,0,0.000237406
9000177,0,1.55E-05
9000178,0,4.04E-09
9000179,0,6.79E-07
9000180,0,6.21E-07
9000181,0,7.12E-06
9000182,0,1.42E-05
9000183,0,8.06E-08
9000184,0,8.61E-08
9000185,0,1.85E-08
9000186,0,4.71E-09
9000187,0,2.72E-05
9000188,0,1.33E-08
9000189,0,0.000614291
9000190,0,2.91E-06
9000191,0,3.68E-05
9000192,0,2.24E-07
9000193,0,2.36E-05
9000194,0,2.05E-08
9000195,0,1.92E-07
9000196,0,8.04E-05
9000197,0,4.05E-05
9000198,0,1.87E-06
9000199,0,1.24E-08
9000200,0,1.71E-08
9000201,0,6.75E-07
9000202,0,1.02E-06
9000203,0,8.46E-08
9000204,0,1.83E-08
9000205,0,3.48E-07
9000206,0,4.40E-06
9000207,0,2.58E-06
9000208,0,4.33E-07
9000209,0,8.02E-05
9000210,0,2.17E-07
9000211,0,0.004333675
9000212,0,1.74E-06
9000213,0,1.26E-05
9000214,0,3.76E-08
